day,time,sender_account,receipient_account,amount
1,08:00,acc5,acc3,67
1,08:00,acc6,acc1,71
1,08:01,acc1,acc5,45
1,08:02,acc6,acc7,43
1,08:04,acc1,acc5,31
1,08:05,acc2,acc5,61
1,08:05,acc3,acc1,47
1,08:06,acc2,acc7,34
1,08:06,acc5,acc2,67
1,08:06,acc5,acc6,45
1,08:08,acc3,acc2,32
1,08:09,acc5,acc7,61
1,08:10,acc1,acc5,50
1,08:10,acc1,acc5,53
1,08:10,acc5,acc3,68
1,08:10,acc7,acc4,27
1,08:11,acc7,acc6,44
1,08:12,acc2,acc3,66
1,08:12,acc3,acc2,26
1,08:13,acc4,acc3,47
1,08:13,acc5,acc7,49
1,08:13,acc7,acc2,32
1,08:13,acc7,acc5,71
1,08:13,acc7,acc6,33
1,08:14,acc3,acc4,31
1,08:14,acc3,acc5,68
1,08:15,acc1,acc6,26
1,08:15,acc2,acc3,42
1,08:15,acc3,acc2,43
1,08:16,acc6,acc2,27
1,08:16,acc6,acc7,59
1,08:17,acc3,acc4,43
1,08:17,acc3,acc7,52
1,08:17,acc6,acc3,58
1,08:18,acc2,acc1,41
1,08:18,acc2,acc4,39
1,08:18,acc7,acc3,47
1,08:18,acc7,acc5,32
1,08:19,acc7,acc1,58
1,08:19,acc7,acc6,38
1,08:20,acc3,acc5,73
1,08:20,acc5,acc7,28
1,08:21,acc2,acc5,63
1,08:21,acc4,acc1,25
1,08:21,acc6,acc1,26
1,08:24,acc5,acc2,42
1,08:25,acc1,acc7,36
1,08:25,acc2,acc5,73
1,08:25,acc4,acc6,33
1,08:26,acc1,acc6,48
1,08:26,acc4,acc3,56
1,08:27,acc4,acc1,46
1,08:27,acc5,acc4,45
1,08:28,acc2,acc6,40
1,08:28,acc3,acc6,69
1,08:30,acc4,acc3,62
1,08:30,acc6,acc7,71
1,08:31,acc4,acc1,46
1,08:31,acc5,acc2,68
1,08:31,acc6,acc2,36
1,08:33,acc4,acc1,46
1,08:33,acc4,acc2,69
1,08:34,acc4,acc6,30
1,08:34,acc7,acc4,31
1,08:35,acc3,acc4,51
1,08:35,acc4,acc7,75
1,08:36,acc2,acc3,62
1,08:36,acc3,acc4,54
1,08:36,acc5,acc3,56
1,08:36,acc6,acc1,74
1,08:36,acc7,acc3,52
1,08:37,acc3,acc4,67
1,08:37,acc7,acc2,28
1,08:39,acc1,acc5,64
1,08:39,acc3,acc1,39
1,08:40,acc5,acc6,54
1,08:41,acc2,acc7,54
1,08:41,acc3,acc7,61
1,08:41,acc7,acc1,64
1,08:42,acc1,acc6,59
1,08:42,acc1,acc7,44
1,08:42,acc3,acc1,66
1,08:42,acc3,acc4,39
1,08:42,acc3,acc4,43
1,08:42,acc5,acc4,74
1,08:44,acc4,acc1,52
1,08:44,acc6,acc5,58
1,08:45,acc3,acc6,41
1,08:45,acc6,acc7,62
1,08:46,acc6,acc4,71
1,08:46,acc6,acc7,68
1,08:47,acc6,acc2,36
1,08:48,acc1,acc6,26
1,08:49,acc5,acc3,48
1,08:50,acc3,acc5,73
